text,label
可能就是一直累或者是娱乐类的比较多这个一直累节目可能就是我觉得像这个Discography这类节目能够丰富之使娱乐类的话主要还是就是我觉得肯定是的时候应该就是属于比较放松的状态然后娱乐类节目可能会有任何独装所以就会这样做,1
想去爱好其实挺多的这个就是提云动啊然后科技啊数码啊嗯嗯然后就是什么漫画啊动画啊小说啊都挺多的,1
感覺好像最近也沒一個高興就是跟高興就是前兩天自己做一個測試然後結果就說那個未來可能會比較好所以就可能這是挺高興的,1
我一直挺想去那个思海的因为那个思海不是说就会在几年之内干枯可能就再见不到了所以想去看一看然后计划的话其实我觉得旅行如果全部都计划好了好像就失去了旅行的意义所以我一直想的就是可能有几个关系遇到好的朋友只要是愿意去的然后我们就可以九那种计划如果说可以的话我会选择可能就自己搭车去或者是什么的,1
这个反正看就好像从来他在最近这个礼物可能是就是那只初三毕业之后然后大家就写那个类似于写一段换一段换一种感觉然后给你一个小本子那种那个可能是最好的吧然后当时反正就是觉得可能有情这个东西就是从小建立起来的这种有情兴趣可能一辈子都不会消失,1
应该就是一考虑的事件吧去参加考试然后考试完了之后考官们都对了你笑的那种感觉,1
情绪不是特别好就不想上学然后不想见人也不想说话,1
身体应该没有什么问题吧嗯 就是特别失税就睡不醒 然后感觉特别批发,1
"一般吧,不能说特别好,也不能说特别坏现在可能还没有找到一种特别好的方法但是我觉得应该是多方面的那种可能跟同理人在一起会比较好沟通",1
朋友就随便那个就叫马翔然后性格属于那种比较活潑开朗的然后爱好他会应该就是科技累的吧,1
就是大学不可能目标就是希望在明年可以拿到一些名词然后后年有出现实际的机会然后大后年就那个选择考验或者是工作,1
以前可能挺开朗的但是对于有些事情比较认真就是有点强迫症就是必须要做到那种特别细事特别完美要不然就那个就不是那种特别舒服就有那种完美主义的感觉平常你强的性格我觉得还挺开朗的现在就说不来的我也不知道具体是什么品贱,1
一切分歧的话就是有的时候可能会希望他听我的但是更多还是应该会选择正确的意见吧,1
"说不着急,一万就看小说,然后看内野再就是想一下这番鸡八糟的事情,这个也说不太清楚",1
感受就是不舒服但可能以前会选择对抗现在可能会选择沉默就是不跟他们直接说话,1
"那高考完的时候,那段时间可能体重的学研究或是什么的在高考之前提前就没有检查出来后来那个提前的就现实出来没有点偏高结果就可能上学的时候就出了点问题最后就是家里人可能又就是求前面什么呀最后再到身上大学但是就是这方面我自己觉得我本身可能没有什么问题但是好多天然就一直在迟早就是说你主要没偏高就自己的问题然后我今天在说这种人就令心情不是特别好",1
"具体什么情况,我也不知道,但是绝望的话,应该是先排解,可能会找一些方法来尽量自己就不去想这些事情",1
自殺其實我覺得自殺是個挺愚蠢的行為但是就好像某些時候你只可能只有選擇自殺或者是什麼才能引起別人的注意如果個人還是挺反對自殺但是也有這種念頭可能我前面說提到就是一個完美注意所以我覺得好像最那種平白無故的自殺好像還沒有時間人生的假扯就做還是不再講這種事情,1
北风和太阳有一次北风和太阳正在争论谁比较有本事他们正好看到有个穿着大衣的人走过他们就说谁可以上那个人拖到那简大衣就算谁比较有本事于是北风开始拼运的吹怎知他吹得越厉害那个人就越是用大衣包紧自己最后北风没办法就放弃了接着太阳出来晒了一会儿那个人感觉变得很热立刻把大衣拖掉了于是北风只好认输了,1
不凡宝贝自在众奖吉好灰红高手美好优胜团员,1
